insurer_name,insurer_type,solvency_ratio,claims_ratio,premium_growth,reserve_adequacy,liquidity_ratio,compliance_score,policy_count,year,quarter,risk_label,anomaly_flag
Old Mutual Life Assurance Zimbabwe,reinsurer,1.1997,0.9044,0.0941,0.8496,1.2076,0.6401,4581,2018,4,adequate,0
Zimnat Life Assurance,composite,1.3224,0.1775,0.2938,0.9104,1.0999,0.5116,2949,2021,2,strong,0
RM Insurance,composite,2.0652,0.3309,0.3094,0.9736,1.5198,0.7923,3955,2019,1,strong,0
RM Insurance,life,1.2627,1.035,0.2525,0.8412,0.8868,0.6751,1723,2020,1,adequate,0
Zimnat General Insurance,reinsurer,1.5588,0.6339,0.2595,1.282,2.1802,0.7986,775,2021,1,strong,0
Heritage Insurance,life,1.1848,0.4861,0.0851,0.9242,1.1866,1.0,6012,2019,3,adequate,0
Cell Insurance,life,2.2004,0.6607,0.2211,1.2215,1.6721,0.9484,2205,2023,1,strong,0
ZB Bank Insurance,reinsurer,1.2913,0.8039,0.1397,0.8767,1.0507,0.5063,5564,2022,2,adequate,0
ZB Bank Insurance,life,1.0999,0.9726,-0.0913,0.9618,1.3327,0.7922,3466,2023,3,adequate,0
RM Life Zimbabwe,life,1.2633,0.9116,0.3955,1.0039,1.481,0.9132,7138,2019,1,adequate,0
Alliance Insurance,reinsurer,1.685,0.3603,0.3033,0.9372,1.2449,0.8535,5675,2024,3,strong,0
Heritage Life Assurance,composite,1.4374,0.7183,0.3475,1.0247,0.9099,0.9998,1208,2019,3,adequate,0
RM Insurance,reinsurer,1.4908,0.8892,-0.1032,1.0292,1.5888,0.5938,814,2023,4,adequate,0
CBZ Life,reinsurer,1.5622,0.3923,-0.2115,0.7224,1.0389,0.5939,4850,2024,1,strong,0
Tristar Insurance,composite,1.4536,0.2308,0.1282,0.8343,1.0919,0.8003,11280,2021,2,strong,0
Heritage Life Assurance,life,1.6648,0.3496,0.2338,0.5497,1.354,0.6796,14239,2020,3,strong,0
Old Mutual Zimbabwe,reinsurer,1.5323,0.5288,-0.1819,0.9653,1.0073,0.5444,1986,2021,3,strong,0
Old Mutual Life Assurance Zimbabwe,general,1.1102,0.8705,-0.0973,0.6173,1.1111,0.8607,5268,2020,1,watch,0
First Mutual Health,life,1.5371,0.8427,-0.2479,0.9238,0.7869,0.6724,5250,2020,4,adequate,0
Sanctuary Insurance,reinsurer,1.9644,0.3225,0.0982,1.0501,1.8821,0.9136,4439,2023,4,strong,0
FBC Insurance,life,2.3061,0.8827,0.1063,0.7748,1.3816,0.9192,1573,2024,2,adequate,0
CABS Insurance,life,1.6157,0.1408,-0.0548,0.882,1.3349,0.651,4785,2020,2,strong,0
Old Mutual Life Assurance Zimbabwe,reinsurer,0.88,0.432,0.0382,0.6596,1.6847,0.5611,2158,2023,1,adequate,1
Tristar Insurance,reinsurer,1.3603,0.9111,0.1238,0.8945,1.1267,0.879,2403,2018,3,adequate,0
Moonlight Insurance,composite,1.9979,0.3352,0.2295,0.8563,1.0302,0.6759,1727,2018,1,strong,0
Old Mutual Zimbabwe,life,1.824,0.7556,-0.0638,0.8273,1.3247,0.585,5808,2021,4,adequate,0
Zimnat Life Assurance,life,1.9483,0.2911,0.1847,0.9973,2.0345,0.925,14155,2020,4,strong,0
CABS Insurance,composite,1.4419,0.5977,0.6,1.063,1.0804,0.7781,7711,2019,2,strong,0
Zimnat General Insurance,general,1.4276,1.0088,0.1935,0.989,1.6072,0.7376,4064,2022,3,adequate,0
RM Life Zimbabwe,reinsurer,1.5372,0.9437,-0.1506,0.8165,1.0938,0.9928,5459,2020,4,adequate,0
ZB Bank Insurance,composite,1.4961,0.3322,0.3709,0.9969,1.3362,0.6442,2639,2022,4,strong,0
NicozDiamond Brokers,composite,0.7569,0.8226,-0.0025,0.9227,0.8564,0.5098,2439,2022,1,watch,1
Alliance Insurance,life,0.8077,0.7641,-0.0022,0.8397,1.22,0.9784,4609,2019,3,watch,0
First Mutual Health,composite,1.82,1.0501,0.2942,0.9726,0.8608,0.5573,4396,2021,4,adequate,0
Old Mutual Zimbabwe,reinsurer,1.361,0.3217,-0.3702,0.5307,1.3083,0.8802,2795,2020,3,strong,1
First Mutual Life,reinsurer,1.8479,0.4603,-0.0819,0.6547,1.1197,0.9266,4835,2019,3,strong,0
Sanctuary Insurance,general,1.6566,0.4588,0.247,0.9926,1.1182,0.735,6298,2018,2,strong,0
Moonlight Insurance,composite,0.8564,0.3742,0.423,0.8959,1.4127,0.975,4702,2024,1,adequate,0
Nicoz Diamond Insurance,reinsurer,1.1499,0.8942,0.0978,0.8458,1.652,0.8731,12457,2022,3,adequate,0
ZB Life Assurance,life,1.5109,0.2994,0.3292,0.5533,0.9973,0.5952,9334,2023,4,strong,0
Zimnat Life Assurance,general,1.9171,0.6754,-0.0797,1.1978,1.3657,0.6617,2202,2018,2,strong,0
CABS Insurance,reinsurer,1.2128,0.4168,0.4108,0.8366,1.5796,0.5989,6298,2020,3,strong,0
Cell Insurance,reinsurer,1.4343,0.6744,-0.0797,0.706,1.1174,0.7021,2687,2018,4,adequate,0
Fidelity Life Zimbabwe,general,1.4391,0.2175,0.306,0.8845,1.1767,0.6882,7402,2022,4,strong,0
CABS Insurance,general,1.8661,0.4396,0.0782,1.1185,1.2978,0.752,2653,2020,3,strong,0
ZB Life Assurance,composite,0.8302,0.7682,-0.0475,0.7428,0.9403,0.7584,7873,2022,3,watch,0
NicozDiamond Brokers,life,1.137,0.2814,0.4229,0.8853,1.7761,0.9438,4997,2021,3,strong,0
NicozDiamond Brokers,general,1.5136,1.0483,-0.2859,0.3325,1.4549,0.728,1414,2022,4,adequate,1
Tristar Insurance,composite,1.0551,0.2407,0.25,0.8403,1.1641,0.8636,8410,2022,4,strong,0
Fidelity Life Zimbabwe,general,1.35,0.8572,0.2504,0.8156,0.9174,0.9356,5592,2018,3,adequate,0
NicozDiamond Brokers,composite,1.6915,0.5373,0.1131,1.0244,1.3318,0.8268,7864,2020,1,strong,0
ZB Life Assurance,general,1.5089,0.8757,0.1263,1.1658,0.7958,0.6126,13474,2019,1,adequate,0
Heritage Life Assurance,composite,1.8755,0.9928,-0.0629,0.852,0.7444,0.6989,1158,2024,1,adequate,0
Nicoz Diamond Insurance,general,1.1338,0.9026,-0.263,0.9043,0.8446,0.7724,7298,2018,4,adequate,0
First Mutual Health,reinsurer,1.0884,1.0017,-0.0675,1.072,1.1444,0.8563,4781,2018,1,adequate,0
Moonlight Insurance,general,0.9105,0.5232,0.1546,0.639,1.219,0.6555,4369,2023,2,adequate,0
Zimnat General Insurance,composite,1.8961,0.7323,-0.0031,0.9292,0.7321,0.543,6793,2022,3,adequate,0
Fidelity Life Zimbabwe,reinsurer,1.7048,0.2083,-0.1053,0.9557,1.1665,0.6393,8156,2020,1,strong,0
NicozDiamond Brokers,general,1.573,0.7797,0.1646,0.8902,1.6941,0.8202,3527,2019,3,adequate,0
ZB Life Assurance,composite,0.9106,0.629,0.3366,1.0018,0.9537,0.6444,7510,2019,4,adequate,0
First Mutual Health,general,0.8515,1.1923,0.3144,0.9456,0.6712,0.6646,1375,2023,1,watch,1
Minerva Risk Advisors,general,1.3359,1.0179,0.2704,0.8926,0.7455,0.7022,2876,2018,2,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.4566,0.7384,0.0294,0.843,1.3964,0.616,1223,2024,2,adequate,0
CABS Insurance,reinsurer,1.6328,0.4875,0.0299,0.9506,1.4505,0.6367,4799,2023,1,strong,0
Tristar Insurance,life,0.7624,0.5998,0.2634,1.0174,1.4394,0.5445,3026,2021,1,adequate,1
Cell Insurance,composite,1.2542,0.8887,0.2702,0.7718,1.1379,0.8245,1375,2021,3,adequate,0
Cell Insurance,composite,1.6656,0.8066,-0.183,0.949,0.945,0.9035,25371,2024,1,adequate,0
Zimnat Life Assurance,reinsurer,1.6016,0.6177,0.0918,0.8973,1.5333,0.9278,12022,2021,1,strong,0
Cell Insurance,life,1.9915,0.7613,0.07,0.6254,1.6785,0.6502,8176,2019,4,adequate,0
RM Insurance,general,2.1041,0.9003,0.0288,0.6571,0.8029,0.9948,10713,2019,4,adequate,0
Cell Insurance,life,1.2413,0.1301,0.0553,0.9904,0.7836,0.8273,1813,2023,4,strong,0
CABS Insurance,life,1.7243,0.8234,0.0636,0.885,1.7665,0.9926,4470,2021,3,adequate,0
CBZ Life,life,1.529,0.7793,0.1129,0.7256,1.5735,0.7208,5174,2022,3,adequate,0
CBZ Life,reinsurer,2.0531,0.3468,0.34,0.6937,1.9692,0.6696,5319,2019,2,strong,0
Alliance Insurance,reinsurer,1.573,0.7335,-0.0588,0.7993,1.2556,0.6973,3863,2023,2,adequate,0
Nicoz Diamond Insurance,life,1.0619,0.9456,0.1282,0.8515,1.1946,0.9498,1842,2023,2,adequate,0
Zimnat General Insurance,composite,1.4193,0.8784,0.0446,1.0041,0.8507,0.7336,8697,2020,3,adequate,0
First Mutual Life,life,1.5593,0.6378,-0.0714,0.8958,0.5687,0.7667,3362,2023,4,adequate,0
Minerva Risk Advisors,composite,1.6986,0.7978,0.2148,0.7048,1.8554,0.7143,4468,2022,2,adequate,0
Zimnat General Insurance,reinsurer,1.5188,0.3687,-0.1717,1.0368,1.2328,0.7059,5190,2018,1,strong,0
Cell Insurance,composite,1.8556,0.8941,-0.0777,0.807,1.2503,0.6914,1149,2022,3,adequate,0
First Mutual Health,reinsurer,1.3631,0.3865,0.0462,1.0024,0.9195,0.6862,2846,2023,1,strong,0
Zimnat General Insurance,general,1.3302,0.673,0.1905,1.0496,1.1579,0.9054,3499,2023,1,adequate,0
Sanctuary Insurance,general,0.7494,0.6313,0.1728,0.8476,1.4473,0.5217,882,2019,1,adequate,1
ZB Life Assurance,life,1.299,0.5832,0.0239,1.0374,1.0472,0.8676,6600,2024,3,adequate,0
RM Life Zimbabwe,reinsurer,0.9393,0.4527,-0.1097,0.7151,1.1902,0.5775,836,2024,3,adequate,1
Old Mutual Zimbabwe,reinsurer,1.4238,0.3996,0.1091,1.0359,0.9242,0.8189,12629,2021,2,strong,0
Heritage Life Assurance,life,1.8624,0.5618,-0.0551,1.1264,1.6295,0.8754,3558,2020,1,strong,0
NicozDiamond Brokers,general,1.7526,0.3713,-0.3761,0.5013,0.9807,0.5089,9283,2023,2,adequate,1
Heritage Life Assurance,composite,2.2752,0.4666,0.2613,0.6298,1.1139,0.7825,15803,2023,1,adequate,0
Moonlight Insurance,life,1.9687,0.6329,-0.2613,0.4861,0.6478,0.6975,3175,2021,2,adequate,1
Old Mutual Life Assurance Zimbabwe,life,1.4142,0.6229,0.0836,0.7555,0.8757,0.5306,6159,2022,1,adequate,0
Fidelity Life Assurance,reinsurer,1.6158,0.8358,0.1944,1.013,0.9543,0.6434,2938,2024,2,adequate,0
Minerva Risk Advisors,reinsurer,1.2757,0.3571,0.327,1.1475,1.0284,0.8747,3718,2019,3,strong,0
Heritage Insurance,general,1.1753,0.5808,0.1895,0.8479,0.6961,0.9596,6278,2021,1,adequate,0
CABS Insurance,general,1.1487,0.9777,-0.1269,0.5938,1.2149,0.7093,4204,2018,1,watch,0
Old Mutual Zimbabwe,reinsurer,1.2425,1.0245,0.0374,0.8174,1.1502,0.7394,13835,2023,1,adequate,0
RM Life Zimbabwe,composite,1.9842,0.7691,0.3148,0.8806,1.1315,0.6822,2889,2019,4,adequate,0
Old Mutual Zimbabwe,general,1.8382,0.1713,0.0786,0.9211,1.1598,0.8667,3467,2021,2,strong,0
Zimnat Life Assurance,life,1.4558,0.718,-0.0467,0.7321,1.0334,0.8208,684,2022,1,adequate,0
Nicoz Diamond Insurance,composite,1.269,0.271,0.0095,0.8334,1.7127,0.5177,382,2023,2,strong,0
Heritage Insurance,life,0.8067,0.1042,-0.4,0.8895,1.5296,0.7099,3114,2023,1,strong,0
Zimnat Life Assurance,general,1.5797,0.7814,0.0419,0.8369,1.821,0.8934,10680,2020,3,adequate,0
First Mutual Life,reinsurer,1.0029,0.7463,0.0942,1.0393,1.1428,0.8021,2864,2020,4,adequate,0
Heritage Life Assurance,composite,1.4496,0.1,0.4096,0.727,1.5236,0.7744,5384,2021,3,strong,0
Tristar Insurance,general,2.0654,0.3966,0.208,0.9675,1.6308,0.7245,12731,2018,2,strong,0
Heritage Life Assurance,reinsurer,1.4192,0.6885,0.0631,1.2909,1.5099,0.5365,7220,2024,3,strong,0
CBZ Life,general,1.1442,0.5682,0.0133,0.9601,1.2573,0.8143,3942,2020,3,adequate,0
First Mutual Life,general,2.0563,0.5289,0.229,0.8355,1.27,0.6441,9931,2024,1,strong,0
Tristar Insurance,reinsurer,2.0624,1.0302,-0.2067,0.8866,1.368,0.9059,8379,2023,4,adequate,0
Old Mutual Life Assurance Zimbabwe,reinsurer,1.4946,0.834,0.1204,0.9701,1.3498,0.7938,7737,2018,2,adequate,0
ZB Bank Insurance,general,0.9908,0.4403,0.1994,0.8295,1.2609,0.9843,1534,2018,1,adequate,0
Tristar Insurance,composite,1.5796,0.4101,0.0997,0.6272,1.458,0.504,19785,2024,1,strong,0
Old Mutual Life Assurance Zimbabwe,reinsurer,1.2702,0.7141,0.1366,0.6705,1.4058,0.9301,7437,2023,3,adequate,0
FBC Insurance,reinsurer,1.2739,0.7293,0.2628,0.9159,1.6818,0.5061,3688,2020,4,adequate,0
ZB Life Assurance,general,1.3212,0.9944,-0.1909,0.9659,1.2804,0.6554,4291,2019,3,adequate,0
First Mutual Life,composite,1.4531,0.3618,0.3601,0.8517,1.4921,0.7243,11263,2021,3,strong,0
Heritage Insurance,life,1.7532,0.8461,0.3128,0.6775,1.7313,0.6891,1776,2020,3,adequate,0
Nicoz Diamond Insurance,reinsurer,1.3642,0.7999,-0.0278,0.7967,1.2144,0.5098,3167,2018,4,adequate,0
Moonlight Insurance,life,0.9653,0.6646,0.1649,0.8654,1.5305,0.6802,5238,2024,3,adequate,0
Fidelity Life Assurance,reinsurer,1.5045,0.3032,-0.0624,0.9304,1.4449,0.5427,4571,2024,1,strong,0
Old Mutual Life Assurance Zimbabwe,composite,1.7647,0.4845,0.0693,0.7858,1.1041,0.5515,3634,2018,3,strong,0
Nicoz Diamond Insurance,general,1.5656,0.7871,0.3003,0.8041,1.3295,0.8855,11361,2024,4,adequate,0
Minerva Risk Advisors,reinsurer,2.2733,0.6538,0.0448,0.7536,1.3798,0.6983,10880,2023,3,adequate,0
Tristar Insurance,composite,1.4549,0.9083,0.0695,0.8926,1.0419,0.601,1537,2018,2,adequate,0
RM Insurance,life,1.4758,0.3178,-0.0448,0.886,1.16,0.6121,5187,2020,4,strong,0
RM Insurance,composite,1.683,0.8636,0.0244,1.0203,0.7006,0.5073,915,2023,3,adequate,0
Fidelity Life Zimbabwe,general,2.2415,0.5769,-0.0523,0.8828,1.4914,0.7964,10855,2020,3,strong,0
Heritage Insurance,general,1.3892,0.4143,0.1229,1.1167,0.9297,0.8773,11136,2024,4,strong,0
Zimnat Life Assurance,general,1.1472,0.6142,-0.1585,0.9965,1.633,0.5631,3523,2021,2,adequate,0
RM Insurance,reinsurer,1.6502,0.667,-0.0517,0.7604,1.4506,0.6251,5367,2023,1,adequate,0
Heritage Insurance,composite,1.753,0.4671,-0.0472,0.9085,1.5212,0.8458,3840,2022,4,strong,0
FBC Insurance,life,1.8145,0.9587,0.2054,0.8978,1.4454,0.6815,5961,2022,1,adequate,0
First Mutual Life,general,1.6992,0.7676,0.0476,0.9887,1.5022,0.8544,8280,2021,1,strong,0
Alliance Insurance,life,1.1644,0.3128,0.18,0.9998,1.1486,0.9446,5611,2021,3,strong,0
Minerva Risk Advisors,reinsurer,1.9489,0.7747,-0.2942,0.5831,1.0461,0.9734,2524,2024,4,adequate,1
Nicoz Diamond Insurance,general,0.5423,1.1161,0.3033,0.8712,1.2091,0.6596,1739,2020,1,watch,1
ZB Bank Insurance,reinsurer,1.9674,0.4673,-0.1895,0.6835,0.6387,0.8797,1839,2021,3,adequate,0
Tristar Insurance,composite,0.9496,0.6179,0.2366,1.0197,1.1596,0.6009,7436,2023,4,adequate,0
Old Mutual Zimbabwe,reinsurer,1.3786,0.7004,0.2017,1.047,1.5186,0.5654,32812,2024,1,strong,0
Heritage Life Assurance,general,1.4243,0.6737,0.0812,0.9879,1.0881,0.9646,1404,2024,2,adequate,0
Old Mutual Life Assurance Zimbabwe,composite,1.4489,0.4495,0.1961,0.6956,1.7598,0.9071,18067,2019,1,strong,0
ZB Bank Insurance,general,1.5527,0.5657,0.3291,0.8548,1.5259,0.6808,3088,2023,2,strong,0
Fidelity Life Assurance,life,1.4147,0.7419,0.1245,0.7696,1.4604,0.9205,3334,2021,3,adequate,0
NicozDiamond Brokers,life,1.3566,0.521,-0.0883,1.0487,0.7865,0.7142,2848,2023,1,adequate,0
Nicoz Diamond Insurance,general,1.1419,0.8841,0.4141,0.8468,1.3506,0.8145,17966,2019,1,adequate,0
FBC Insurance,life,1.7744,0.5206,-0.0687,0.9877,1.284,0.675,3928,2022,3,strong,0
Cell Insurance,reinsurer,1.1083,1.0272,0.4318,1.1647,1.1146,0.649,1211,2021,4,adequate,0
Heritage Insurance,reinsurer,1.2543,0.7486,0.2564,0.7959,1.7212,0.8576,3719,2018,2,adequate,0
RM Insurance,reinsurer,1.6015,0.3976,0.4109,1.1627,1.8472,0.7438,7096,2022,1,strong,0
CBZ Life,life,1.721,0.5638,-0.0256,0.7843,1.3177,0.5137,3774,2021,3,strong,0
CBZ Life,general,1.5864,0.6688,-0.0653,0.9936,1.8899,0.6313,1535,2020,3,strong,0
CBZ Life,reinsurer,1.183,1.0111,0.0107,0.8282,1.2113,0.5504,12224,2022,3,adequate,0
Tristar Insurance,composite,2.3577,0.8142,-0.1007,0.6192,0.9882,0.8141,834,2023,4,adequate,0
Heritage Insurance,general,1.1833,0.8365,-0.0187,1.0648,1.4159,0.6312,10084,2019,3,adequate,0
First Mutual Health,life,1.5723,0.7013,-0.2989,0.6404,1.5564,0.6694,6903,2018,1,adequate,0
Sanctuary Insurance,life,0.9393,0.5929,-0.2657,0.423,0.8563,0.8097,1920,2022,2,watch,1
Cell Insurance,life,1.1864,0.6885,-0.1895,0.9686,1.4388,0.6047,24499,2022,1,adequate,0
First Mutual Life,composite,1.7782,0.8639,-0.0273,0.8505,2.0355,0.5716,6451,2024,2,adequate,0
Sanctuary Insurance,general,1.3147,0.3906,-0.0441,0.9428,1.3692,0.8707,2636,2018,3,strong,0
Cell Insurance,composite,1.2647,0.8582,-0.3395,0.544,1.3496,0.9883,3157,2022,4,adequate,1
Moonlight Insurance,general,1.4866,0.8129,0.2763,0.8901,0.8915,0.5802,1420,2022,2,adequate,0
Zimnat Life Assurance,life,2.3851,0.7697,0.1784,0.9632,1.453,0.661,5908,2018,2,strong,0
Moonlight Insurance,composite,1.6082,0.7438,0.195,1.0138,1.6333,0.5225,10431,2021,3,strong,0
CBZ Life,life,1.4716,0.3885,0.1791,1.0027,1.3809,0.7596,7071,2018,3,strong,0
First Mutual Health,general,1.3901,0.1776,0.0226,0.7677,1.1838,0.7616,9878,2021,4,strong,0
CABS Insurance,reinsurer,1.6819,0.6601,0.0643,0.8339,1.0239,0.9251,1662,2018,2,adequate,0
Fidelity Life Zimbabwe,composite,1.8055,0.3121,-0.0571,0.806,1.3759,0.6517,7754,2019,3,strong,0
First Mutual Life,reinsurer,2.1771,0.7596,0.1311,0.7642,0.736,0.7638,8021,2022,2,adequate,0
Minerva Risk Advisors,reinsurer,1.6959,0.6007,0.2894,0.8341,1.5813,0.8588,3420,2021,1,strong,0
Nicoz Diamond Insurance,life,1.1867,0.5488,0.2842,0.7792,1.1696,0.6101,3298,2023,2,adequate,0
Fidelity Life Zimbabwe,life,1.3554,0.9168,-0.081,0.8405,1.0442,0.5464,3943,2024,2,adequate,0
FBC Insurance,life,1.0774,0.2862,-0.0627,0.8918,1.1198,0.9883,3954,2022,2,strong,0
CBZ Life,life,1.811,0.5318,0.1848,0.9642,0.9554,0.5936,11444,2024,2,strong,0
Cell Insurance,general,1.4495,0.657,-0.0919,1.0261,1.4596,0.8161,2445,2020,1,strong,0
Moonlight Insurance,general,1.254,0.972,0.0975,0.7159,1.0009,0.9821,19376,2020,3,watch,0
Old Mutual Zimbabwe,composite,1.3692,0.8208,0.0573,0.7254,1.2391,0.9051,1940,2024,4,adequate,0
First Mutual Life,reinsurer,1.7848,0.6302,0.2967,1.1615,1.6849,0.6069,3172,2020,3,strong,0
Nicoz Diamond Insurance,reinsurer,0.8429,0.7666,0.0495,1.1562,0.8707,0.8699,1588,2024,3,adequate,0
Old Mutual Zimbabwe,composite,1.9488,0.304,0.4345,0.6426,1.7329,0.5965,3147,2020,1,strong,0
CABS Insurance,reinsurer,1.6204,0.8582,0.3067,0.8621,0.9831,0.8367,5284,2024,2,adequate,0
Cell Insurance,composite,1.3876,0.789,0.0978,1.031,1.9362,0.5506,5791,2022,2,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.4284,0.6571,0.0742,0.9614,1.3284,0.6364,3813,2020,3,strong,0
Heritage Insurance,composite,1.4999,0.8989,0.2113,1.059,1.2103,0.8509,1138,2018,3,adequate,0
RM Life Zimbabwe,composite,2.1578,0.5293,-0.1396,0.8359,0.4891,0.7405,997,2019,2,adequate,0
ZB Life Assurance,reinsurer,1.0258,0.473,0.1375,0.6847,1.3389,0.7609,13865,2020,2,adequate,0
Zimnat General Insurance,reinsurer,1.0045,0.3538,0.1298,0.6774,1.1565,0.605,9023,2023,3,adequate,0
Fidelity Life Zimbabwe,reinsurer,0.5623,0.3963,0.1536,1.0687,1.5916,0.8958,3023,2021,1,adequate,1
RM Life Zimbabwe,life,1.527,0.3727,-0.0199,0.8718,1.3191,0.6124,1034,2024,3,strong,0
Fidelity Life Assurance,reinsurer,1.1121,0.5117,-0.3665,0.7305,1.6199,0.685,3407,2020,3,adequate,0
First Mutual Life,reinsurer,1.4304,0.3237,-0.1507,0.8845,1.1651,0.8395,4972,2020,1,strong,0
Zimnat Life Assurance,composite,1.9343,0.7697,-0.0074,0.765,0.887,0.8658,8667,2020,4,adequate,0
RM Life Zimbabwe,reinsurer,1.2077,0.3671,0.0607,0.8646,1.2595,0.543,34194,2021,2,strong,0
CBZ Life,life,1.6058,0.5458,0.1149,0.9365,1.0603,0.7114,11984,2024,3,strong,0
Zimnat Life Assurance,reinsurer,1.3066,0.6737,-0.0389,0.8094,1.2036,0.5287,4525,2018,3,adequate,0
First Mutual Life,reinsurer,1.3541,0.4184,0.0893,1.0944,1.327,0.7206,7999,2018,2,strong,0
Moonlight Insurance,composite,1.2779,0.8998,-0.0218,1.0449,1.4386,0.8109,27610,2022,2,adequate,0
Heritage Life Assurance,general,1.7548,0.5392,0.1031,0.6493,1.4434,0.9531,6526,2022,4,strong,0
RM Life Zimbabwe,life,1.6813,0.1446,0.1568,0.8958,1.5779,0.5767,3186,2023,3,strong,0
Heritage Insurance,reinsurer,0.8473,0.5137,0.0353,0.9458,0.8804,0.6624,3020,2018,3,adequate,0
Heritage Life Assurance,composite,1.8907,0.2275,-0.0495,0.7759,0.9672,0.908,3362,2019,2,strong,0
CBZ Life,reinsurer,0.9415,0.8141,0.1318,1.0473,1.3099,0.5163,585,2018,4,adequate,1
FBC Insurance,composite,1.2174,0.448,0.1322,1.2289,1.7049,0.9484,2799,2024,4,strong,0
ZB Bank Insurance,general,1.6319,0.304,0.1581,0.8339,1.033,0.6259,6158,2024,4,strong,0
Fidelity Life Assurance,reinsurer,1.4264,0.8185,-0.2988,0.8491,1.1093,0.5858,1405,2019,4,adequate,0
Alliance Insurance,general,1.2252,0.5154,0.1844,0.6522,0.8348,0.7039,3630,2018,2,adequate,0
First Mutual Health,general,1.0816,0.9421,0.2456,0.5902,0.8077,0.608,3582,2023,2,watch,0
Alliance Insurance,general,0.8712,1.1143,0.0818,0.7869,1.0883,0.911,1364,2022,4,watch,1
FBC Insurance,composite,1.8444,0.4694,0.4221,0.6642,1.3758,0.644,5610,2018,3,strong,0
NicozDiamond Brokers,reinsurer,0.9868,0.4322,0.0855,0.7172,1.4016,0.7992,12601,2020,3,adequate,0
CABS Insurance,composite,1.1022,0.5729,-0.0574,0.6731,0.9517,0.786,6702,2023,4,adequate,0
Old Mutual Life Assurance Zimbabwe,general,1.8291,0.926,0.1246,0.8944,1.196,0.8511,6310,2018,4,adequate,0
Nicoz Diamond Insurance,reinsurer,1.0175,0.7,0.1944,0.9827,1.1396,0.7031,5230,2024,1,adequate,0
Zimnat Life Assurance,reinsurer,1.4616,0.1,0.2333,0.8442,0.9476,0.8449,21289,2020,2,strong,0
Zimnat General Insurance,life,1.035,0.5379,0.1133,0.9033,1.366,0.5962,3417,2023,1,adequate,0
Heritage Life Assurance,general,1.5339,0.7991,-0.0259,1.0389,0.9951,0.9993,2812,2019,1,adequate,0
ZB Life Assurance,composite,1.3176,0.7126,0.043,0.7375,1.1483,0.7279,1130,2020,3,adequate,0
Heritage Insurance,life,1.7635,0.1871,0.3162,0.8327,0.6696,0.9994,498,2020,3,strong,0
FBC Insurance,reinsurer,0.7882,0.4879,-0.0841,0.8094,1.5271,0.9991,1563,2024,4,adequate,0
CBZ Life,composite,1.7133,0.7681,0.1055,0.8204,1.1503,0.6682,6305,2023,4,adequate,0
Moonlight Insurance,life,1.0516,0.7319,0.2921,0.9099,1.9915,0.5284,3568,2024,1,adequate,0
ZB Bank Insurance,composite,1.0459,0.4679,0.0934,0.7513,1.0861,0.7454,4888,2023,2,adequate,0
ZB Bank Insurance,life,2.2549,0.6833,-0.1578,0.8129,1.3132,0.6078,5374,2023,1,adequate,0
Nicoz Diamond Insurance,reinsurer,1.3573,0.601,0.049,0.9572,0.8949,0.8614,22159,2019,3,adequate,0
Zimnat Life Assurance,general,1.6219,0.86,0.2405,0.6595,1.4708,0.7523,1929,2018,1,adequate,0
Zimnat General Insurance,life,1.2138,0.7091,0.2625,0.9315,1.4259,0.9431,6845,2021,4,adequate,0
Moonlight Insurance,composite,1.6604,0.9998,0.0813,0.9053,1.3637,0.8298,3642,2020,2,adequate,0
Cell Insurance,general,1.7119,0.2996,0.2308,1.0024,1.4289,0.8758,1757,2021,3,strong,0
FBC Insurance,life,0.7927,0.3744,0.4147,0.9503,1.4474,0.9357,3792,2024,2,adequate,0
Sanctuary Insurance,reinsurer,1.3166,0.2726,0.2769,0.7903,1.1722,0.9382,2422,2019,1,strong,0
Alliance Insurance,composite,1.5896,0.5888,-0.1446,0.9864,1.7513,0.6043,4357,2022,1,strong,0
First Mutual Life,composite,0.8878,0.438,0.1311,0.9678,1.2692,0.9063,3651,2020,2,adequate,0
Heritage Life Assurance,general,1.462,0.8247,0.0937,0.9506,0.8118,0.9612,2531,2018,2,adequate,0
ZB Bank Insurance,composite,1.2705,0.5329,-0.1159,1.0595,1.2807,0.595,4318,2021,3,strong,0
Cell Insurance,reinsurer,1.6788,1.0374,-0.0525,0.8605,1.3664,0.9214,10998,2020,1,adequate,0
Fidelity Life Zimbabwe,general,1.2148,0.7813,0.4152,0.9704,1.1953,0.9681,1456,2021,4,adequate,0
ZB Bank Insurance,general,1.5647,0.5682,-0.1309,0.79,1.1841,0.5732,3069,2018,3,strong,0
Alliance Insurance,composite,1.7662,0.924,-0.1913,0.5795,1.4722,0.7058,9043,2020,3,adequate,0
Old Mutual Life Assurance Zimbabwe,reinsurer,1.1677,0.6108,-0.2781,0.9351,1.2737,0.597,1962,2019,3,adequate,0
Moonlight Insurance,life,1.2341,0.8052,0.5168,0.7574,1.3394,0.9107,18775,2024,4,adequate,0
RM Life Zimbabwe,general,1.5329,0.6204,0.1455,0.8676,0.7844,0.9939,10048,2018,1,adequate,0
Tristar Insurance,composite,0.5378,1.0323,0.1167,0.7969,1.2285,0.6115,1312,2018,2,watch,1
